smiles,pka,target
COC1=CC=CC=C1O,7.4102,1
CC1=CC(=C(C=C1)N)C,7.4657,1
C1=CC=C(C=C1)CCBr,7.7672,0
CCCCOC(=O)N,7.2345,0
C(CC(=O)O)[C@@H](C(=O)O)N.Cl,6.4389,0
CC1=CC=CC=C1N=C(N)N=C(N)N,6.5544,0
CCCCOC(=O)CO,7.1566,0
CC(C)(C(=O)O)O,6.7426,1
C(=O)(C(=O)O)O.O.O,6.5467,1
C(CC(=O)O)C(=O)C(=O)O,6.7115,1
NS(=O)(=O)O,6.4244,1
CCCCCCCCCCCC(=O)O,7.9976,0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],8.2952,0
CC(C)(C)C(=O)OC,7.5617,0
C1=NN=CN1N,6.7976,0
C=CCCCCCCC=C,8.0397,0
C(=O)([O-])[O-].[Na+].[Na+],6.5659,0
CC(=O)CCC1=CC=CC=C1,7.7325,0
COC1=C(C=CC(=C1)CC=C)O,7.6088,0
C(=C(Cl)Cl)(Cl)Cl,7.9205,0
C=CCCCCCCCCC(=O)[O-].[Na+],7.7229,1
CC1=CC(=C(C=C1S(=O)(=O)O)OC)N,7.2298,0
[OH-].[K+],7.0470,1
C(CSSCCC(=O)O)C(=O)O,7.3252,0
CC(C)O,7.0161,0
C1=CC=C(C=C1)CCO,7.2464,1
CCCCOC(=O)CC,7.6819,0
CCCCCCCCCCCCCCCC(=O)OC,8.7522,0
CCCCCCCCCCCC(=O)OC,8.3241,0
C(=O)(O)[O-].[Na+],6.6663,0
CCC(C)Br,7.6439,0
CSC1=CC=C(C=C1)C=O,7.8463,0
CCOCCOC(=O)C(=C)C,7.5927,0
C1=CC=C(C=C1)/C=C/C=O,7.6496,0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,9.1436,0
OS(=O)[O-].[Na+],6.8015,0
C=CCCCCCCCCC(=O)O,7.8233,0
CN(C)CC1=CC=CC=C1,7.6045,1
[H+].[B-](F)(F)(F)F,7.3900,1
C1=CC(=O)OC1=O,7.1878,1
CCCCCCCCC(=O)O,7.6765,1
CC(C)N(C)C,7.3769,1
Cl,7.1265,1
CCCCCCCN,7.4246,1
CCCCCCCC(=O)O,7.5694,1
CC1=C(C=C(C=C1)C(C)C)O,7.7372,1
CC(C)(C)C1=CC=CC=C1O,7.7069,1
CC(=C)C=O,7.3184,1
CC(C(=O)O)O,6.6255,1
O.OS(=O)(=O)[O-].[Na+],6.8014,1
C(=O)C(=O)O.O,6.7710,1
OS(=O)(=O)[O-].[Na+],6.8014,1
C1CCC(CC1)N,7.2833,1
CCC(C)C(=O)O,7.2151,1
C(COC(=O)CBr)OC(=O)CBr,7.6088,1
COCCCN,6.9645,1
C=CCBr,7.4602,1
C1CN(CCN1)CCN,6.5351,1
Cl[Fe](Cl)Cl,7.6198,1
OP(=O)(O)O,6.2214,1
CCC(=O)O,7.0343,1
CCCC(=O)O,7.1413,1
B(F)(F)F.CC(=O)O.CC(=O)O,6.9273,1
C(CO)N,6.4712,1
Br,7.1734,1
CC(CN)N,6.5777,1
P(Br)(Br)Br,8.0194,1
B(F)(F)F.O.O,7.2639,1
C=CC(=O)O,6.9671,1
C(=O)O,6.8102,1
C(C(=O)Cl)(Cl)Cl,7.5566,1
[N+](=O)([O-])[O-].[Ag+],7.2283,1
C1=CC=C(C=C1)O,7.3177,1
CC(=O)O,6.9273,1
C(C(=O)O)Br,7.0298,1
CN(C)CCCNCCCN,6.7929,1
OS(=O)(=O)O,6.6042,1
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,8.0526,0
CC(=CCC/C(=C/C=C/C(C)(C=C)O)/C)C,8.0917,0
C1CCC(C1)OCCC2=CC=CC=C2,8.0165,0
C(CCCBr)CCBr,7.9510,0
CC1=CN=C(C(=C1OC)C)CCl.Cl,7.9138,0
CC(CO)COC1CC2CCC1(C2(C)C)C,7.8139,0
CC(C)(CCC1=CC=CC=C1)O,7.5870,0
CC1=C(NN=C1)C,7.2080,0
CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,8.0259,0
CC1C2CC3CC1C(C(C2)C3=C)O,7.5646,0
CC1=CCC(CC1)C(C)(C)O,7.6411,0
CCOC(=O)C1=CC=CC=C1C(=O)OCC,7.9720,0
CCC(O)OC(CC)O,6.9979,0
C1=CC=C2C(=C1)C=CC=C2CC(=O)O,7.6201,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,8.0831,0
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N,8.8309,0
C=CCCC=C,7.6116,0
C(CO)O,6.4813,0
C(C(CO)O)O,6.1796,0
CCC(C)(C)CC,7.8298,0
C=CCOC(=O)COC1=CC=CC=C1,7.7884,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,7.8948,0
CCCCCCCCCCCCCCCCCC(=O)OC,8.9663,0
CC(=O)OCC1=CC=CC=C1,7.7049,0
CCCCCCCCCCCCCC(=O)OC(C)C,8.7617,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,8.9758,0
CCCCCCC(=O)OCC=C,7.9358,0
CCCCCCCOC(=O)CCC,8.1100,0
CCCCCCOC(=O)C1=CC=CC=C1O,7.9788,0
CC(=CCCC(C)(C=C)OC(=O)C)C,8.1222,0
CC1=CCC(CC1)C(C)(C)OC(=O)C,8.1024,0
CCCSSCCC,8.1063,0
CC(C)CCCCCCCCCCCCCCC(=O)O,8.6065,0
C1CC(C2=CC=CC=C2C1)N,7.5068,1
[B]1OC2=CC=CC=C2O1,7.4976,1
