smiles,pka,target
CCCCCCC=O,7.6967,1
CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,8.0785,1
CCCCCBr,7.7415,1
CC(CCC=C(C)C)CCO,7.6754,1
CC1=CC[C@@H](CC1)C(=C)C,7.9827,1
CSSC,7.6782,1
C1CCC/C=C\CC1,7.8690,1
CC(C)(CCC1=CC=CC=C1)O,7.5870,1
CC1=CC(=C(C=C1)N)C,7.4657,1
CC(CCCC(C)(C)O)CC=O,7.5858,1
C(CSSCCC(=O)O)C(=O)O,7.3252,0
C1=NN=CN1N,6.7976,0
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],7.8645,1
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,8.0526,1
CC(=CCC/C(=C/C=C/C(C)(C=C)O)/C)C,8.0917,1
C1CCC(C1)OCCC2=CC=CC=C2,8.0165,1
C(CCCBr)CCBr,7.9510,1
C=CCCCCCCCCC(=O)O,7.8233,1
CC(CO)COC1CC2CCC1(C2(C)C)C,7.8139,1
CC1=C(NN=C1)C,7.2080,1
CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,8.0259,1
CC1C2CC3CC1C(C(C2)C3=C)O,7.5646,1
CC(C)C1=CC=C(C=C1)CC(C)C=O,8.0163,1
C(CCBr)CCl,7.6901,1
CCOC(=O)C1=CC=CC=C1C(=O)OCC,7.9720,0
C1=CC=C2C(=C1)C=CC=C2CC(=O)O,7.6201,0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,9.1436,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,8.0831,0
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N,8.8309,0
C=CCCC=C,7.6116,0
C(CO)O,6.4813,0
C(C(CO)O)O,6.1796,0
CCC(C)(C)CC,7.8298,0
C=CCOC(=O)COC1=CC=CC=C1,7.7884,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,7.8948,0
CCCCCCCCCCCC(=O)O,7.9976,1
CSC1=CC=C(C=C1)C=O,7.8463,1
CCCCCCCCCCCCCCCCCC(=O)OC,8.9663,0
CC(=O)OCC1=CC=CC=C1,7.7049,0
CCCCCCCCCCCCCC(=O)OC(C)C,8.7617,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,8.9758,0
CCCCOC(=O)CC,7.6819,1
OS(=O)[O-].[Na+],6.8015,0
C1=CC=C(C=C1)CO,7.2437,1
CCCCCCC(=O)OCC=C,7.9358,0
CCCCCCCOC(=O)CCC,8.1100,0
CCOCCOC(=O)C(=C)C,7.5927,1
CCCCCCOC(=O)C1=CC=CC=C1O,7.9788,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,8.5437,1
CC(=CCCC(C)(C=C)O)C,7.6609,1
C1=CC=C(C=C1)/C=C/C=O,7.6496,1
CCCCCCCCCCO,7.7558,1
CCCCCCBr,7.8485,1
CC1=CCC(CC1)C(C)(C)O,7.6411,1
CC1=CN=C(C(=C1OC)C)CCl.Cl,7.9138,1
CCCCOC(=O)C(=C)C,7.7317,1
CCCSSCCC,8.1063,0
CC1=C(C=C(C=C1)C(C)(C)C)S,7.9744,1
CN1CCNC(C1)C2=CC=CC=C2,7.3688,1
CC(Cl)(Cl)Cl,7.7130,1
CC(CN)N,6.5777,1
CC(C)(C)C1=CC=CC=C1O,7.7069,1
CCCCCCCCCCCCCCCC(=O)OC,8.7522,1
[OH-].[K+],7.0470,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,8.0815,1
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],8.2952,1
COC1=CC=CC=C1O,7.4102,1
CC(C)(C(=O)O)O,6.7426,1
C(=O)(C(=O)O)O.O.O,6.5467,1
C(CC(=O)O)C(=O)C(=O)O,6.7115,1
NS(=O)(=O)O,6.4244,1
C=CCCCCCCCCC(=O)[O-].[Na+],7.7229,1
C1=CC=C(C=C1)CCO,7.2464,1
CN(C)CC1=CC=CC=C1,7.6045,1
[H+].[B-](F)(F)(F)F,7.3900,1
C1=CC(=O)OC1=O,7.1878,1
CC(C)N(C)C,7.3769,1
Cl,7.1265,1
CCCCCCCN,7.4246,1
CCCCCCCC(=O)O,7.5694,1
CC1=C(C=C(C=C1)C(C)C)O,7.7372,1
CC(=C)C=O,7.3184,1
CC(C(=O)O)O,6.6255,1
C(=O)C(=O)O.O,6.7710,1
O.OS(=O)(=O)[O-].[Na+],6.8014,1
C1CCC(CC1)N,7.2833,1
CCC(C)C(=O)O,7.2151,1
C(COC(=O)CBr)OC(=O)CBr,7.6088,1
