smiles,pka,target
CSSC,7.6782,0
C1=CC=C(C=C1)CO,7.2437,0
[O-][Si](=O)[O-].[Na+].[Na+],6.4367,0
CC(CCCC(C)(C)O)CC=O,7.5858,0
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],7.8645,0
CCCCCCCCCCCCCCCCCC(=O)OC,8.9663,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,8.0831,0
CC(C)(CCC1=CC=CC=C1)O,7.5870,0
CC(=O)OCC1=CC=CC=C1,7.7049,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,8.9758,0
CCCCCCCCCCCCCC(=O)OC(C)C,8.7617,0
C(CCCBr)CCBr,7.9510,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,7.8948,0
CC1COC(=O)O1,7.4625,0
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N,8.8309,0
C1CCC/C=C\CC1,7.8690,0
CCOCCOCCO,7.0495,0
CCCC(C)(CO)O,6.9289,0
CCCCC(CC)COC(=O)CC(C(=O)OCC(CC)CCCC)S(=O)(=O)[O-].[Na+],8.6829,0
CC(C1=CC=CC=C1)OCCO,7.4870,0
,,0
C1=CC=C(C=C1)CO,7.2437,1
CCCCCCCCCC(=O)O,7.7835,0
C(CN(CC(=O)O)CC(=O)[O-])N(CC(=O)O)CC(=O)[O-].[Na+].[Na+],5.8678,0
CC(=CCC/C(=C/CO)/C)C,7.6614,0
CCCCCCC(=O)O,7.4624,1
CCCCCCO,7.3277,0
CCCCCCCCO,7.5418,0
C(=O)([O-])[O-].C(=O)([O-])[O-].OO.OO.OO.[Na+].[Na+].[Na+].[Na+],6.5659,0
B(=O)O[O-].[Na+],6.7629,0
CCCCCCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],9.1533,0
CCCCCCBr,7.8485,0
CCCCOC(=O)C(=C)C,7.7317,0
CC(CCC=C(C)C)CCO,7.6754,0
CCCCCCCCCCO,7.7558,0
CCCCCCC=O,7.6967,0
CC(=CCCC(C)(C=C)O)C,7.6609,0
CC(Cl)(Cl)Cl,7.7130,0
CCCCCBr,7.7415,0
CN1CCNC(C1)C2=CC=CC=C2,7.3688,0
CC(C)CC(COC)(COC)C(C)C,8.0203,0
CC1=C(C=C(C=C1)C(C)(C)C)S,7.9744,0
CCOC(=O)[C@@]12CCC[C@@H]1[C@@H]3CC[C@H]2C3,8.0098,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,8.5437,0
CCN=C=NCCCN(C)C,7.5896,1
COC1=NC(=NC(=N1)Cl)OC,7.6427,0
C1CCC(CC1)N=C=NC2CCCCC2,8.3277,0
CC(C)N=C=NC(C)C,7.7731,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)C2=CC=CC=C2N=N1,7.2129,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)C2C3CC(C2C1=O)C=C3,7.2644,0
[B-](F)(F)(F)F.CCOC(=O)C(=NOC(=[N+](C)C)N(C)C)C#N,7.3606,0
C1=CC=C(C=C1)P(=O)(C2=CC=CC=C2)Cl,8.0263,1
CN1CC[N+](=C1Cl)C.F[P-](F)(F)(F)(F)F,7.1507,0
CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1.F[P-](F)(F)(F)(F)F,7.5009,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C2=C(C=CC(=C2)Cl)N=N1,7.5009,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C(=O)CCC1=O,7.0670,0
C[N+]1(CCOCC1)C2=NC(=NC(=N2)OC)OC.[Cl-],7.5268,0
CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1.F[P-](F)(F)(F)(F)F,7.3049,0
C1CCN(C1)[P+](N2CCCC2)(N3CCCC3)Br.F[P-](F)(F)(F)(F)F,8.2739,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C=CC=CC1=O,7.0300,0
CN(C)C(=[N+](C)C)N1C2=C(N=CC=C2)[N+](=N1)[O-].F[P-](F)(F)(F)(F)F,7.0308,0
[B-](F)(F)(F)F.CN(C)C(=[N+](C)C)ON1C2=CC=CC=C2N=N1,7.3049,0
CCCP1(=O)OP(=O)(OP(=O)(O1)CCC)CCC,8.9977,1
C1COC(=O)N1P(=O)(N2CCOC2=O)Cl,7.8513,0
CCOC(=O)/C(=N\OC(=[N+](C)C)N1CCOCC1)/C#N.F[P-](F)(F)(F)(F)F,7.3918,0
CN(C)C(=[N+](C)C)F.F[P-](F)(F)(F)(F)F,7.0437,0
C1=CN(C=N1)C(=O)N2C=CN=C2,7.4788,1
CN(C)C(=[N+](C)C)Cl.F[P-](F)(F)(F)(F)F,7.1245,0
CN(C)C(=[N+](C)C)OC1=C(C(=C(C(=C1F)F)F)F)F.F[P-](F)(F)(F)(F)F,7.6752,0
C1=CC=C2C(=C1)N=NN2O.O,7.3006,0
CN(C)C(=O)N(C)C,7.1689,0
F[P-](F)(F)(F)(F)F.[Na+],8.0147,1
CN1C(=C(C(=O)N(C1=O)C)N=O)O,7.0462,1
C1CC(=O)N(C1=O)O,6.9574,0
CCCC[Sn](CCCC)(CCCC)Cl,8.5813,1
CCCC[Sn](CCCC)(Cl)Cl,8.2919,1
CC=O,7.1616,1
CCCCOCCOC(=O)C,7.6499,0
CCCCCC,7.7460,0
C(Cl)(Cl)Cl,7.5959,1
CC1=CC=CC=C1,7.5985,0
CCCCO,7.1136,0
COCCO,6.8675,0
[N+](=O)(O)[O-],6.8957,1
[NH4+].[OH-],6.9129,1
C=O,7.0445,0
[O-]Cl.[Na+],6.9501,0
CCCCCCCCCCCC(=O)N(CCO)CCO,7.5762,0
CC(CO)O,6.5979,0
OS(=O)(=O)O,6.6042,1
OP(=O)(O)O,6.2214,1
CC(CN)N,6.5777,1
[OH-].[K+],7.0470,1
[OH-].[Na+],7.0470,1
CCCCCC(=O)O,7.3554,1
C(C(=O)O)Br,7.0298,1
B(F)(F)F.O.O,7.2639,1
C1=CC=C(C=C1)O,7.3177,1
C(C(=O)Cl)(Cl)Cl,7.5566,1
C(=O)C(=O)O.O,6.7710,0
CC(C(=O)O)O,6.6255,1
C(CO)N,6.4712,1
Cl,7.1265,1
C1=CC=C(C=C1)CCBr,7.7672,0
CSC1=CC=C(C=C1)C=O,7.8463,0
CCCCCCCCCCCC(=O)O,7.9976,0
CC1=CC(=C(C=C1)N)C,7.4657,0
C1=NN=CN1N,6.7976,0
CC(C)O,7.0161,0
CC(C)(CC1=CC=CC=C1)O,7.4800,0
CC(C)(C)C(=O)OC,7.5617,0
C(=C(Cl)Cl)(Cl)Cl,7.9205,0
CCCCOC(=O)CC,7.6819,0
CCCCCCCCCCCCCCCC(=O)OC,8.7522,0
CC(=O)CCC1=CC=CC=C1,7.7325,0
CCCCCCCCCCCC(=O)OC,8.3241,0
C=CCSSSSCC=C,8.5409,0
COC1=CC=CC=C1O,7.4102,0
COC1=C(C=CC(=C1)CC=C)O,7.6088,0
NS(=O)(=O)O,6.4244,0
C(=O)([O-])[O-].[Na+].[Na+],6.5659,0
C(=O)(O)[O-].[Na+],6.6663,0
OS(=O)[O-].[Na+],6.8015,0
CCC(C)Br,7.6439,0
CCOCCOC(=O)C(=C)C,7.5927,0
C1=CC=C(C=C1)/C=C/C=O,7.6496,0
C=CCCCCCCCCC(=O)[O-].[Na+],7.7229,0
CC1=C(C=C(C=C1)C(C)C)O,7.7372,1
CC(C)(C)C1=CC=CC=C1O,7.7069,1
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,8.0526,0
CC(=CCC/C(=C/C=C/C(C)(C=C)O)/C)C,8.0917,0
C1CCC(C1)OCCC2=CC=CC=C2,8.0165,0
CC1=CN=C(C(=C1OC)C)CCl.Cl,7.9138,0
CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,8.0259,0
CC1C2CC3CC1C(C(C2)C3=C)O,7.5646,0
CC1=CCC(CC1)C(C)(C)O,7.6411,0
C(CC(=O)O)[C@@H](C(=O)O)N.Cl,6.4389,0
CC1=CC=CC=C1N=C(N)N=C(N)N,6.5544,0
CCCCOC(=O)CO,7.1566,0
CC(C)(C(=O)O)O,6.7426,0
C(=O)(C(=O)O)O.O.O,6.5467,0
C(CC(=O)O)C(=O)C(=O)O,6.7115,0
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],8.2952,0
CC1=CC(=C(C=C1S(=O)(=O)O)OC)N,7.2298,0
C(CSSCCC(=O)O)C(=O)O,7.3252,0
C1=CC=C(C=C1)CCO,7.2464,0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,9.1436,0
C=CCCCCCCCCC(=O)O,7.8233,0
CN(C)CC1=CC=CC=C1,7.6045,1
[H+].[B-](F)(F)(F)F,7.3900,1
C1=CC(=O)OC1=O,7.1878,1
CC(C)N(C)C,7.3769,1
CCCCCCCN,7.4246,1
CCCCCCCC(=O)O,7.5694,1
CC(=C)C=O,7.3184,1
O.OS(=O)(=O)[O-].[Na+],6.8014,1
OS(=O)(=O)[O-].[Na+],6.8014,1
C1CCC(CC1)N,7.2833,1
CCC(C)C(=O)O,7.2151,1
C(COC(=O)CBr)OC(=O)CBr,7.6088,1
COCCCN,6.9645,1
C=CCBr,7.4602,1
C1CN(CCN1)CCN,6.5351,1
Cl[Fe](Cl)Cl,7.6198,1
CCC(=O)O,7.0343,1
CCCC(=O)O,7.1413,1
B(F)(F)F.CC(=O)O.CC(=O)O,6.9273,1
Br,7.1734,1
P(Br)(Br)Br,8.0194,1
C=CC(=O)O,6.9671,1
C(=O)O,6.8102,1
[N+](=O)([O-])[O-].[Ag+],7.2283,1
CC(=O)O,6.9273,1
CN(C)CCCNCCCN,6.7929,1
CC(C)CCCCCCCCCCCCCCC(=O)O,8.6065,0
CC(CCC(C(C)CC(C)(C)C)C(=O)O)CC(C)(C)C,8.5136,0
CCCCOC(=O)N,7.2345,0
P(Cl)(Cl)(Cl)(Cl)Cl,8.2926,1
C(CS)O,6.7626,1
CCOC1=CC=C(C=C1)Br,7.9343,0
C(CCBr)CCl,7.6901,0
CCCCOC(=O)C1=CC=CC=C1,7.9531,0
CCCCCCCCCCCCN(C)C,8.3307,0
CC1=C(NN=C1)C,7.2080,0
CS(=O)C,7.0984,0
CCCCCCCCCCCCO,7.9699,0
CCO,6.8996,0
CCCCCCCOC(=O)CCC,8.1100,0
CCCCCCCCCCCCCCCC(=O)O,8.4257,0
CCCCCCOC(=O)C1=CC=CC=C1O,7.9788,0
CC(=CCCC(C)(C=C)OC(=O)C)C,8.1222,0
