smiles,pka,target
CCCCCCC=O,,1
CC(CC1=CC=C(C=C1)C(C)(C)C)C=O,,1
CCCCCBr,,1
CC(CCC=C(C)C)CCO,,1
CC1=CC[C@@H](CC1)C(=C)C,,1
CSSC,,1
C1CCC/C=C\CC1,,1
CC(C)(CCC1=CC=CC=C1)O,,1
CC1=CC(=C(C=C1)N)C,,1
CC(CCCC(C)(C)O)CC=O,,1
C(CSSCCC(=O)O)C(=O)O,,0
C1=NN=CN1N,,0
C1=CC(=CC(=C1)Cl)[N+](=O)[O-],,1
CC1=CCC(C1(C)C)/C=C/C(C)(C)C(C)O,,1
CC(=CCC/C(=C/C=C/C(C)(C=C)O)/C)C,,1
C1CCC(C1)OCCC2=CC=CC=C2,,1
C(CCCBr)CCBr,,1
C=CCCCCCCCCC(=O)O,,1
CC(CO)COC1CC2CCC1(C2(C)C)C,,1
CC1=C(NN=C1)C,,1
CC1C2CC3CC1C(C(C2)C3=C)OC(=O)C,,1
CC1C2CC3CC1C(C(C2)C3=C)O,,1
CC(C)C1=CC=C(C=C1)CC(C)C=O,,1
C(CCBr)CCl,,1
CCOC(=O)C1=CC=CC=C1C(=O)OCC,,0
C1=CC=C2C(=C1)C=CC=C2CC(=O)O,,0
CC(C)(C)C1=CC(=CC(=C1O)C(C)(C)C)CC2=CC(=C(C(=C2)C(C)(C)C)O)C(C)(C)C,,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2,,0
CCCCCCCC/C=C\CCCCCCCCCCCC(=O)N,,0
C=CCCC=C,,0
C(CO)O,,0
C(C(CO)O)O,,0
CCC(C)(C)CC,,0
C=CCOC(=O)COC1=CC=CC=C1,,0
C1=CC=C(C=C1)COC(=O)C2=CC=CC=C2O,,0
CCCCCCCCCCCC(=O)O,,1
CSC1=CC=C(C=C1)C=O,,1
CCCCCCCCCCCCCCCCCC(=O)OC,,0
CC(=O)OCC1=CC=CC=C1,,0
CCCCCCCCCCCCCC(=O)OC(C)C,,0
CCCCCCCCCCCCCCCC(=O)OC(C)C,,0
CCCCOC(=O)CC,,1
OS(=O)[O-].[Na+],,0
C1=CC=C(C=C1)CO,,1
CCCCCCC(=O)OCC=C,,0
CCCCCCCOC(=O)CCC,,0
CCOCCOC(=O)C(=C)C,,1
CCCCCCOC(=O)C1=CC=CC=C1O,,0
CC(C)COP(=O)(OCC(C)C)OCC(C)C,,1
CC(=CCCC(C)(C=C)O)C,,1
C1=CC=C(C=C1)/C=C/C=O,,1
CCCCCCCCCCO,,1
CCCCCCBr,,1
CC1=CCC(CC1)C(C)(C)O,,1
CC1=CN=C(C(=C1OC)C)CCl.Cl,,1
CCCCOC(=O)C(=C)C,,1
CCCSSCCC,,0
CC1=C(C=C(C=C1)C(C)(C)C)S,,1
CN1CCNC(C1)C2=CC=CC=C2,,1
CC(Cl)(Cl)Cl,,1
CC(CN)N,,1
CC(C)(C)C1=CC=CC=C1O,,1
CCCCCCCCCCCCCCCC(=O)OC,,1
[OH-].[K+],,1
CC(C)(C)CC(C)(C)C1=CC=C(C=C1)OCCO,,1
CCCCCCCCCCCCOS(=O)(=O)[O-].[Na+],,1
COC1=CC=CC=C1O,,1
CC(C)(C(=O)O)O,,1
C(=O)(C(=O)O)O.O.O,,1
C(CC(=O)O)C(=O)C(=O)O,,1
NS(=O)(=O)O,,1
C=CCCCCCCCCC(=O)[O-].[Na+],,1
C1=CC=C(C=C1)CCO,,1
CN(C)CC1=CC=CC=C1,,1
[H+].[B-](F)(F)(F)F,,1
C1=CC(=O)OC1=O,,1
CC(C)N(C)C,,1
Cl,,1
CCCCCCCN,,1
CCCCCCCC(=O)O,,1
CC1=C(C=C(C=C1)C(C)C)O,,1
CC(=C)C=O,,1
CC(C(=O)O)O,,1
C(=O)C(=O)O.O,,1
O.OS(=O)(=O)[O-].[Na+],,1
C1CCC(CC1)N,,1
CCC(C)C(=O)O,,1
C(COC(=O)CBr)OC(=O)CBr,,1
COCCCN,,1
C=CCBr,,1
C1CN(CCN1)CCN,,1
Cl[Fe](Cl)Cl,,1
OP(=O)(O)O,,1
CCC(=O)O,,1
CCCC(=O)O,,1
B(F)(F)F.CC(=O)O.CC(=O)O,,1
C(CO)N,,1
Br,,1
P(Br)(Br)Br,,1
C1=C(C=C(C(=C1F)F)F)C(=O)NN,,1
C=CC(=O)O,,1
C(=O)O,,1
C(C(=O)Cl)(Cl)Cl,,1
[N+](=O)([O-])[O-].[Ag+],,1
C1=CC=C(C=C1)O,,1
CC(=O)O,,1
C(C(=O)O)Br,,1
CN(C)CCCNCCCN,,1
OS(=O)(=O)O,,1
C1CC(C2=CC=CC=C2C1)N,,1
[B]1OC2=CC=CC=C2O1,,1
C1CCC(=O)CC1,,1
C1=CC=C(C(=C1)[C@H](C(=O)O)O)Cl,,1
CNCCC(C1=CC=CC=C1)OC2=CC=C(C=C2)C(F)(F)F.Cl,,1
[Cl-].[Cl-].[Cl-].[Cr+3],,0
CCCCCC(=O)O,,1
CCC(C)C(=O)O,,1
P(Cl)(Cl)(Cl)(Cl)Cl,,1
C(CS)O,,1
C(#N)S.C(=N)(N)N,,1
CCCCCCCCCCCCN(CCCN)CCCN,,1
C(=C(Cl)Cl)(Cl)Cl,,1
CCCCCCCCCCCC(=O)OC,,0
CC(=CCCC(C)(C=C)OC(=O)C)C,,1
COC1=C(C=CC(=C1)CC=C)O,,1
[O-][Si](=O)[O-].[Na+].[Na+],,1
OS(=O)[O-].[Na+],,1
C(CCCBr)CCBr,,1
CC(C)O,,0
C(=O)(O)[O-].[Na+],,0
C1=CC=C2C(=C1)C=CC=C2CC(=O)O,,0
CCCCCCCOC(=O)CCC,,0
CCOC(=O)C1=CC=CC=C1C(=O)OCC,,0
CCCCCCOC(=O)C1=CC=CC=C1O,,0
CC(C)C1=CC=C(C=C1)CC(C)C=O,,1
